libsecret 0.21.7-1.1
libshout 1:2.4.6-5.1
libsigc++ 2.12.1-2.1
libsigc++-3.0 3.8.0-1.1
libslirp 4.9.1-1.1
libsm 1.2.6-1.2
libsndfile 1.2.2-4.1
libsodium 1.0.21-1.1
libsonic 0.2.0-2
libsoup3 3.6.6-2
libsoxr 0.1.3-4.1
libspelling 0.4.10-1.1
libsrtp 1:2.8.0-1
libssc 0.4.2-1.1
libssh 0.12.0-1.1
libssh2 1.11.1-1.1
libstdc++ 15.2.1+r604+g0b99615a8aef-2
libstemmer 3.0.1-1.1
libsysprof-capture 50.0-1.1
libtasn1 4.21.0-1.1
libtatsu 1.0.5-1.1
libteam 1.32-3.1
libthai 0.1.30-1.1
libtheora 1.2.0-1.1
libtiff 4.7.1-2.1
libtirpc 1.3.7-1.1
libtool 2.6.0-4
libtsan 15.2.1+r604+g0b99615a8aef-2
libubsan 15.2.1+r604+g0b99615a8aef-2
libunibreak 6.1-2.1
libunistring 1.4.1-1.1
libunwind 1.8.2-1.1
liburcu 0.15.6-1.1
liburing 2.14-1.1
libusb 1.0.29-1.1
libusbmuxd 2.1.1-2.1
libutf8proc 2.11.3-1.1
libuv 1.52.1-1
libva 2.23.0-1.1
libvdpau 1.5-4.1
libverto 0.3.2-5.1
libvncserver 0.9.15-1.1
libvorbis 1.3.7-4.1
libvpl 2.16.0-2.1
libvpx 1.16.0-3.1
libvterm 0.3.3-2.1
libwacom 2.18.0-2
libwbclient 2:4.24.0-1.1
libwebp 1.6.0-2.1
libwireplumber 0.5.14-1.1
libwmf 0.2.15-1.1
libx11 1.8.13-1.1
libx86emu 3.7-2.1
libxau 1.0.12-1.1
libxcb 1.17.0-1.2
libxcomposite 0.4.7-1.1
libxcrypt 4.5.2-1.1
libxcursor 1.2.3-1.1
libxcvt 0.1.3-1.1
libxdamage 1.1.7-1.1
libxdmcp 1.1.5-2.1
libxext 1.3.7-1.1
libxfixes 6.0.2-1.1
libxfont2 2.0.7-1.1
libxft 2.3.9-1.2
libxi 1.8.2-1.1
libxinerama 1.1.6-1.1
libxkbcommon 1.13.1-1.1
libxkbcommon-x11 1.13.1-1.1
libxkbfile 1.2.0-1.1
libxml++ 3.2.5-3.1
libxml2 2.15.2-1.1
libxmlb 0.3.25-1.1
libxpm 3.5.18-1.1
libxrandr 1.5.5-1.1
libxrender 0.9.12-1.1
libxshmfence 1.3.3-1.1
libxslt 1.1.45-2.1
libxss 1.2.5-1.1
libxt 1.3.1-1.1
libxtst 1.2.5-1.1
libxv 1.0.13-1.1
libxxf86vm 1.1.7-1.1
libyaml 0.2.5-3.1
libyuv r2426+464c51a03-1.1
libzip 1.11.4-1.2
licenses 20240728-1
lilv 0.26.4-1
linux-api-headers 1:6.19-1
linux-cachyos 6.19.11-1
linux-cachyos-headers 6.19.11-1
linux-cachyos-lts 6.18.21-1
linux-cachyos-lts-headers 6.18.21-1
linux-firmware 1:20260309-1
linux-firmware-amdgpu 1:20260309-1
linux-firmware-atheros 1:20260309-1
linux-firmware-broadcom 1:20260309-1
linux-firmware-cirrus 1:20260309-1
linux-firmware-intel 1:20260309-1
linux-firmware-mediatek 1:20260309-1
linux-firmware-nvidia 1:20260309-1
linux-firmware-other 1:20260309-1
linux-firmware-radeon 1:20260309-1
linux-firmware-realtek 1:20260309-1
linux-firmware-whence 1:20260309-1
lld 22.1.3-1.1
llhttp 9.3.1-1.1
llvm 22.1.2-2
llvm-libs 22.1.2-2
lm_sensors 1:3.6.2-1.1
lmdb 0.9.35-1.1
localsearch 3.11.0-1
localsend 1.17.0-4
logrotate 3.22.0-1.1
loupe 50.0-1.1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.6-1.1
lsscsi 0.32-2.2
lua 5.5.0-2.2
lua51-lpeg 1.1.0-5
lua54 5.4.8-6.1
luajit 2.1.1774896198+18b087c-1.1
lv2 1.18.10-2.1
lvm2 2.03.39-1.1
lz4 1:1.10.0-3
lzo 2.10-5.1
m4 1.4.21-2.1
mailcap 2.1.54-2
make 4.4.1-2.1
malcontent 0.14.0-3
man-db 2.13.1-1.1
man-pages 6.17-1
md4c 0.5.2-2.1
mdadm 4.6-1
meld 3.22.3-2
mesa 2:26.0.4-2
mesa-utils 9.0.0-7.1
meson 1.10.2-1
minizip 1:1.3.2-3.1
mission-center 1.1.0-1.1
mjpegtools 2.2.1-4.1
mkinitcpio 40-5
mkinitcpio-busybox 1.36.1-1.1
mobile-broadband-provider-info 20251101-1
mod_dnssd 0.6-10.1
modemmanager 1.24.2-1.1
mpdecimal 4.0.1-3.1
mpfr 4.2.2-1.1
mpg123 1.33.4-1.1
msgpack-c 6.1.0-2.1
msgraph 0.3.4-1.1
mtdev 1.1.7-1.1
mtools 1:4.0.49-1.1
muparser 2.3.5-2.1
mutter 50.0-2.1
nano 9.0-1.1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
nautilus 50.0-1.1
nautilus-image-converter 0.4.0-2.1
nautilus-python 4.1.0-3
nautilus-share 0.7.5-5.1
ncurses 6.6-2.1
neon 0.37.1-1
neovim 0.12.1-1.1
net-snmp 5.9.5.2-1.1
net-tools 2.10-3.1
netavark 1.17.2-1.1
netctl 1.29-2
netpbm 10.86.49-2.1
nettle 3.10.2-1.1
networkmanager 1.56.0-1
networkmanager-openvpn 1.12.5-1.1
networkmanager-vpn-plugin-openvpn 1.12.5-1.1
nfs-utils 2.9.1-1.1
nfsidmap 2.9.1-1.1
nftables 1:1.1.6-3
nilfs-utils 2.2.15-1.1
ninja 1.13.2-3.1
nm-connection-editor 1.36.0-2.1
nmap 7.99-2.1
node-gyp 12.2.0-1
nodejs 25.9.0-2
nodejs-nopt 9.0.0-1
noto-fonts 1:2026.04.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 11.12.1-1
npth 1.8-1.1
nspr 4.38.2-1.1
nss 3.122-1.1
nss-mdns 0.15.1-2.1
ntfs-3g 2022.10.3-2.1
nvtop 3.3.2-1.1
obsidian 1.12.7-1
ocl-icd 2.3.4-1.1
oniguruma 6.9.10-1.1
onlyoffice-bin 9.3.1-1
openal 1.25.1-1.1
openbsd-netcat 1.234_2-1.1
opencl-mesa 2:26.0.4-2
opencore-amr 0.1.6-2.1
openexr 3.4.9-1.1
openh264 2.6.0-2.1
openjpeg2 2.5.4-1.1
openjph 0.26.3-3.1
openssh 10.3p1-1.1
openssl 3.6.2-1.1
openvpn 2.7.1-1.1
opus 1.6.1-1.1
orc 0.4.42-1.1
os-prober 1.84-1.1
osinfo-db 20251212-1
ostree 2025.7-3
oxipng 10.1.0-2.1
p11-kit 0.26.2-1.1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1.2
pacman-mirrorlist 20260406-1
pacutils 0.15.0-3
pahole 1:1.31-2.1
pam 1.7.2-2.1
pambase 20250719-1
pango 1:1.57.1-1.1
pangomm 2.46.4-1.4
